Student_ID,Age,Gender,Vocational_Program,Academic_Performance,Certifications_Count,Internship_Experience,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Job_ID,Job_Title,Required_Skill_1,Required_Skill_2,Required_Skill_3,Required_Skill_4,Required_Skill_5,Min_Experience_Months,Location,Job_Match
S0016,25,Male,IT Technician,87.53,2,10,8,0,1,1,5,J117,IT Support Technician,7,1,8,0,2,4,Delhi,1
S0017,20,Male,Electrician,61.02,1,11,6,10,0,2,1,J204,Plumbing Assistant,10,1,6,4,7,4,Pune,0
S0018,23,Male,IT Technician,63.29,1,9,7,8,1,1,9,J146,Automobile Mechanic,1,7,6,10,4,2,Mumbai,1
S0019,22,Female,Carpenter,78.03,0,1,8,3,4,10,8,J215,Woodwork Assistant,1,9,10,6,9,9,Bangalore,0
S0020,19,Female,Welder,80.61,1,8,5,9,8,8,6,J105,Automobile Mechanic,3,3,7,5,8,11,Chennai,0
S0021,25,Male,Welder,87.18,1,2,9,8,4,4,7,J297,Plumbing Assistant,10,1,4,5,7,1,Kolkata,1
S0022,29,Female,Plumber,58.19,2,5,9,3,8,6,6,J069,Electrical Technician,3,10,6,10,6,0,Chennai,1
S0023,23,Male,Electrician,81.92,2,5,2,3,6,10,10,J255,Plumbing Assistant,3,0,2,1,2,8,Chennai,0
S0024,19,Male,Carpenter,79.54,3,1,4,2,0,6,5,J231,Welding Operator,4,10,0,4,1,4,Kolkata,0
S0025,29,Male,Welder,52.55,0,11,9,6,1,3,1,J203,IT Support Technician,3,5,8,9,5,9,Pune,0
S0026,22,Male,Welder,65.49,1,12,7,6,0,1,1,J248,IT Support Technician,9,10,1,7,4,11,Mumbai,0
S0027,18,Female,Carpenter,61.31,3,6,3,2,0,1,10,J249,Woodwork Assistant,8,9,8,3,0,3,Mumbai,0
S0028,29,Male,IT Technician,62.18,0,8,8,0,8,6,1,J144,Woodwork Assistant,10,8,8,7,4,6,Chennai,0
S0029,27,Male,IT Technician,89.32,5,11,1,4,4,3,9,J283,Automobile Mechanic,4,9,5,0,8,12,Mumbai,0
S0030,23,Female,Electrician,75.71,1,9,9,2,3,9,3,J241,Plumbing Assistant,4,6,10,7,4,3,Bangalore,0
S0031,29,Male,Plumber,78.71,1,10,1,4,4,4,10,J229,IT Support Technician,2,5,6,3,8,10,Bangalore,0
S0032,26,Male,Welder,89.06,2,0,10,9,0,5,10,J031,Electrical Technician,10,3,10,9,1,1,Kolkata,0
S0033,18,Male,Plumber,65.09,4,7,1,6,3,4,4,J109,Welding Operator,8,3,3,9,0,8,Chennai,0
S0034,28,Female,IT Technician,82.07,0,1,4,1,4,2,3,J027,Automobile Mechanic,1,2,6,8,4,7,Pune,0
S0035,28,Male,IT Technician,67.38,1,0,1,3,8,7,10,J160,Plumbing Assistant,3,1,6,5,6,11,Bangalore,0
S0036,27,Female,Mechanic,84.78,0,7,2,0,0,5,2,J017,Electrical Technician,7,8,9,4,10,3,Delhi,0
S0037,29,Male,Electrician,57.23,3,1,3,0,7,0,4,J267,Plumbing Assistant,4,3,10,2,6,7,Mumbai,0
S0038,29,Male,Mechanic,87.91,3,5,5,1,6,6,0,J129,Electrical Technician,4,6,1,8,8,11,Pune,0
S0039,20,Female,Mechanic,58.75,4,5,3,3,4,0,0,J220,Plumbing Assistant,8,4,9,8,0,12,Chennai,0
S0040,29,Male,Mechanic,63.05,1,4,6,8,0,1,5,J082,Plumbing Assistant,1,9,4,4,5,8,Bangalore,0
S0041,24,Male,Electrician,80.25,2,7,5,1,8,3,6,J049,IT Support Technician,7,0,9,8,3,1,Kolkata,0
S0042,21,Female,Electrician,65.75,1,2,5,10,10,2,7,J041,Automobile Mechanic,7,4,0,8,7,3,Bangalore,0
S0043,26,Female,Carpenter,74.33,0,12,6,8,2,0,1,J020,Plumbing Assistant,4,10,3,7,8,10,Delhi,0
S0044,20,Female,Plumber,67.78,5,9,10,0,10,4,9,J037,Plumbing Assistant,6,3,6,5,10,5,Bangalore,0
S0045,22,Female,Plumber,79.69,3,3,1,2,7,9,4,J039,Automobile Mechanic,2,9,2,0,4,6,Chennai,0
S0046,20,Female,Carpenter,59.13,0,6,3,4,9,5,6,J109,Automobile Mechanic,7,5,7,6,1,4,Kolkata,0
S0047,24,Male,Carpenter,52.34,4,6,8,0,3,8,4,J064,Woodwork Assistant,7,3,10,4,10,9,Kolkata,0
S0048,22,Female,IT Technician,62.0,3,12,7,0,3,8,0,J175,Woodwork Assistant,7,4,4,5,6,11,Delhi,0
S0049,26,Male,Mechanic,68.97,2,11,0,3,2,6,10,J279,IT Support Technician,8,10,6,5,9,9,Chennai,0
S0050,24,Male,Carpenter,56.72,3,7,2,0,10,9,1,J032,Automobile Mechanic,3,10,9,1,10,12,Delhi,0
S0051,19,Male,Welder,64.19,5,1,9,3,0,0,7,J209,Welding Operator,10,8,9,10,4,6,Delhi,0
S0052,21,Female,Plumber,66.0,1,10,6,7,3,5,2,J019,IT Support Technician,4,10,2,2,0,10,Delhi,1
S0053,26,Female,Carpenter,52.3,5,11,10,7,3,2,3,J106,Electrical Technician,10,4,2,10,1,3,Bangalore,1
S0054,29,Male,Welder,73.33,5,1,5,10,6,6,3,J206,Automobile Mechanic,10,8,9,5,2,7,Mumbai,0
S0055,19,Female,Welder,85.37,1,3,7,6,1,7,8,J247,Woodwork Assistant,6,8,8,0,1,2,Bangalore,1
S0056,27,Female,Welder,56.07,3,12,4,3,3,3,5,J167,Plumbing Assistant,7,10,0,10,10,12,Chennai,0
S0057,26,Female,IT Technician,73.91,4,9,10,3,6,6,4,J089,Automobile Mechanic,2,10,6,7,4,2,Pune,1
S0058,27,Female,IT Technician,76.59,1,12,4,9,7,6,6,J011,Automobile Mechanic,1,2,8,10,9,4,Delhi,0
S0059,22,Male,Welder,66.77,1,8,5,6,6,9,1,J049,Woodwork Assistant,6,0,2,8,6,5,Delhi,1
S0060,19,Male,IT Technician,78.04,2,9,9,1,9,6,9,J061,Woodwork Assistant,1,5,8,3,9,2,Mumbai,1
S0061,21,Female,Mechanic,66.43,3,11,6,6,4,0,1,J171,Welding Operator,1,2,6,3,6,9,Kolkata,0
S0062,29,Male,Welder,70.19,1,8,8,7,7,9,0,J143,IT Support Technician,4,7,7,4,6,1,Delhi,1
S0063,29,Female,Mechanic,50.29,4,12,5,8,7,2,3,J207,Woodwork Assistant,10,5,7,8,4,4,Bangalore,0
S0064,24,Female,Mechanic,77.67,0,12,2,5,8,7,9,J201,Woodwork Assistant,6,0,10,7,2,9,Delhi,1
S0065,29,Male,Welder,76.45,3,3,3,1,7,7,10,J005,Woodwork Assistant,0,5,7,10,2,5,Chennai,0
S0066,25,Male,Plumber,51.54,2,8,5,7,8,0,8,J211,IT Support Technician,0,2,4,10,7,2,Mumbai,1
S0067,20,Male,Welder,64.73,5,2,1,0,7,7,10,J029,Plumbing Assistant,8,8,3,7,10,6,Pune,0
S0068,18,Female,Welder,89.16,1,11,3,7,6,1,4,J190,Automobile Mechanic,4,2,4,1,10,2,Kolkata,1
S0069,21,Male,IT Technician,66.83,4,4,9,3,2,0,4,J188,Automobile Mechanic,10,10,5,0,5,11,Pune,0
S0070,19,Female,Welder,70.08,3,9,9,7,8,6,10,J255,Woodwork Assistant,4,8,6,5,10,12,Chennai,0
S0071,25,Male,Plumber,86.4,4,8,0,0,0,1,0,J150,IT Support Technician,6,9,4,0,8,1,Bangalore,0
S0072,21,Male,IT Technician,78.69,4,5,3,9,8,3,3,J013,Welding Operator,4,3,5,4,0,12,Pune,0
S0073,19,Female,Electrician,73.28,5,2,6,10,8,6,0,J157,Woodwork Assistant,1,3,7,4,6,9,Chennai,0
S0074,23,Female,Electrician,81.91,2,9,0,3,3,0,5,J080,IT Support Technician,1,7,4,3,8,3,Pune,0
S0075,23,Female,Mechanic,84.57,3,8,9,1,10,4,7,J273,IT Support Technician,5,3,7,2,9,2,Delhi,1
S0076,27,Female,Mechanic,68.28,1,5,2,8,6,8,0,J148,Welding Operator,1,6,3,3,9,6,Mumbai,0
S0077,21,Female,Plumber,69.0,2,3,4,2,3,3,10,J206,IT Support Technician,8,1,0,6,7,7,Delhi,0
S0078,23,Female,Carpenter,65.44,1,3,6,9,10,7,10,J114,Automobile Mechanic,2,1,3,1,1,2,Mumbai,1
S0079,19,Female,Electrician,88.67,0,7,9,4,9,6,2,J006,Welding Operator,4,9,4,7,8,5,Bangalore,0
S0080,27,Female,Mechanic,77.89,4,6,2,2,3,5,4,J278,Welding Operator,1,0,2,5,4,0,Chennai,1
S0081,29,Male,Electrician,53.33,0,0,7,4,10,4,9,J232,Electrical Technician,7,7,1,8,3,4,Pune,0
S0082,19,Female,Plumber,84.52,4,5,1,10,10,4,6,J137,Welding Operator,0,1,10,5,4,1,Mumbai,1
S0083,27,Female,Plumber,69.22,5,7,1,5,6,4,8,J160,Welding Operator,6,8,5,5,1,0,Chennai,0
S0084,21,Male,Carpenter,52.75,2,2,3,9,0,7,7,J289,Plumbing Assistant,6,1,6,7,0,12,Pune,0
S0085,25,Female,Carpenter,71.99,1,8,6,7,1,2,8,J205,Automobile Mechanic,8,7,8,4,3,6,Mumbai,0
S0086,24,Male,IT Technician,66.69,5,9,0,7,7,6,10,J158,Woodwork Assistant,0,8,3,3,3,9,Delhi,1
S0087,29,Male,Plumber,85.11,1,1,4,3,9,9,9,J106,Electrical Technician,1,10,3,1,7,3,Mumbai,0
S0088,26,Female,Mechanic,58.16,2,5,9,5,10,0,4,J082,Welding Operator,6,10,9,1,1,4,Mumbai,1
S0089,25,Male,Electrician,83.06,3,11,3,3,6,8,7,J270,Plumbing Assistant,1,0,5,5,0,1,Kolkata,1
S0090,22,Female,Welder,72.31,0,0,10,7,4,5,1,J049,Plumbing Assistant,10,0,5,10,5,7,Pune,0
S0091,19,Male,Carpenter,52.18,0,11,10,2,4,1,2,J206,IT Support Technician,3,2,8,5,0,10,Pune,1
S0092,22,Male,Welder,88.87,1,10,3,5,4,9,3,J218,Woodwork Assistant,2,0,2,1,4,12,Bangalore,0
S0093,25,Male,Mechanic,70.5,1,1,1,10,4,4,10,J164,Woodwork Assistant,2,6,7,6,1,9,Pune,0
S0094,27,Female,Carpenter,61.64,1,12,6,0,3,10,4,J279,Automobile Mechanic,9,9,6,9,2,2,Delhi,0
S0095,26,Female,Welder,68.78,2,4,7,7,0,4,9,J231,IT Support Technician,6,0,1,9,0,6,Delhi,0
S0096,29,Male,Mechanic,84.31,3,0,0,0,1,1,8,J199,Welding Operator,8,1,1,5,6,10,Chennai,0
S0097,29,Male,Electrician,62.2,0,7,3,2,10,0,1,J214,Plumbing Assistant,1,3,2,4,8,0,Mumbai,0
S0098,29,Female,Mechanic,57.71,5,0,5,8,4,3,4,J284,Electrical Technician,1,4,7,5,3,9,Mumbai,0
S0099,26,Female,IT Technician,55.16,4,12,8,6,7,3,10,J276,Automobile Mechanic,9,7,2,3,10,0,Pune,1
S0100,18,Male,Carpenter,61.91,2,8,7,5,4,6,5,J185,Welding Operator,8,4,5,10,1,6,Mumbai,0
S0101,26,Male,Plumber,81.2,0,9,2,4,8,6,3,J210,IT Support Technician,8,7,6,8,4,0,Delhi,0
S0102,24,Female,Electrician,68.87,3,10,6,4,10,1,5,J121,Woodwork Assistant,4,10,10,8,10,11,Kolkata,0
S0103,26,Female,Welder,59.1,2,2,6,7,5,7,6,J216,IT Support Technician,4,8,0,9,9,8,Chennai,0
S0104,25,Female,Carpenter,56.65,5,11,1,5,8,5,3,J097,Welding Operator,10,7,2,7,4,8,Mumbai,0
S0105,18,Female,Plumber,63.31,0,1,6,2,4,0,9,J119,IT Support Technician,1,8,3,6,7,7,Kolkata,0
S0106,29,Female,Mechanic,87.6,2,0,2,7,8,8,9,J282,Woodwork Assistant,6,10,5,6,3,7,Pune,0
S0107,25,Male,Plumber,63.72,0,8,1,3,4,2,10,J106,Welding Operator,9,0,4,7,9,3,Bangalore,1
S0108,25,Female,Carpenter,89.52,0,3,0,5,9,1,8,J142,Electrical Technician,5,4,1,9,4,3,Delhi,1
S0109,28,Male,Carpenter,69.41,3,11,0,10,8,6,10,J268,Automobile Mechanic,9,2,1,2,3,4,Bangalore,1
S0110,20,Female,IT Technician,57.17,4,0,9,1,5,7,1,J291,IT Support Technician,1,3,3,5,4,8,Delhi,0
S0111,18,Male,IT Technician,85.65,3,0,4,10,5,2,1,J167,Woodwork Assistant,6,10,6,2,8,2,Chennai,0
S0112,25,Female,Plumber,68.41,0,6,10,5,2,1,0,J160,Electrical Technician,6,6,1,9,2,3,Pune,0
S0113,20,Female,Mechanic,78.39,2,1,7,0,4,10,5,J231,Plumbing Assistant,2,5,3,3,0,9,Bangalore,0
S0114,20,Male,Plumber,89.35,5,6,10,2,6,1,6,J014,Electrical Technician,5,7,7,7,4,4,Chennai,0
S0115,18,Male,Carpenter,52.01,3,11,1,4,6,10,10,J193,Electrical Technician,9,5,4,3,3,6,Chennai,1
S0116,28,Female,Carpenter,53.87,4,6,2,10,3,0,2,J155,Electrical Technician,3,3,5,5,4,4,Chennai,0
S0117,22,Female,Welder,78.82,0,9,8,9,4,7,1,J101,Woodwork Assistant,10,10,8,7,9,8,Bangalore,0
S0118,27,Female,IT Technician,61.27,5,8,2,6,9,3,8,J060,Plumbing Assistant,5,10,8,4,9,5,Bangalore,0
S0119,24,Female,Welder,57.37,3,12,6,10,0,3,9,J043,Automobile Mechanic,3,5,3,7,6,2,Bangalore,1
S0120,27,Female,Electrician,51.57,3,6,10,5,5,9,5,J193,Electrical Technician,4,9,5,10,6,5,Mumbai,0
S0121,26,Male,Carpenter,50.87,3,12,4,2,1,2,8,J109,Woodwork Assistant,1,8,6,7,4,5,Chennai,0
S0122,29,Male,Welder,80.98,3,0,2,2,0,1,10,J093,Woodwork Assistant,2,1,1,2,0,11,Pune,0
S0123,24,Female,Plumber,55.38,5,11,2,1,7,5,6,J216,Automobile Mechanic,0,6,9,10,7,9,Mumbai,0
S0124,26,Male,IT Technician,68.71,2,12,0,5,1,5,2,J163,Welding Operator,5,6,0,0,8,0,Delhi,0
S0125,25,Male,IT Technician,74.24,4,7,6,2,8,2,6,J234,Plumbing Assistant,4,6,5,3,0,6,Bangalore,1
S0126,29,Male,Mechanic,67.13,4,7,3,7,1,7,8,J167,Plumbing Assistant,3,9,9,7,10,2,Pune,0
S0127,19,Female,Plumber,51.08,0,3,7,5,9,0,6,J148,IT Support Technician,0,1,7,1,10,0,Kolkata,1
S0128,18,Male,Mechanic,81.34,1,12,0,6,1,7,1,J028,Electrical Technician,9,8,2,2,5,0,Delhi,0
S0129,24,Female,Welder,50.42,2,7,2,2,0,4,4,J259,Welding Operator,2,8,10,7,3,4,Chennai,0
S0130,24,Male,Electrician,80.48,0,3,9,4,8,5,5,J086,Plumbing Assistant,5,7,3,4,6,9,Chennai,0
S0131,25,Female,Plumber,85.73,0,7,2,4,9,6,2,J108,IT Support Technician,7,6,7,3,0,9,Pune,0
S0132,22,Male,Plumber,67.31,3,4,1,4,2,4,8,J117,Electrical Technician,5,4,10,3,1,1,Mumbai,1
S0133,20,Female,Plumber,71.42,1,3,10,9,0,3,9,J015,Welding Operator,0,8,1,8,5,1,Bangalore,1
S0134,29,Female,Mechanic,69.08,1,5,4,1,1,0,7,J211,Woodwork Assistant,5,1,5,2,6,11,Pune,0
S0135,25,Male,Welder,65.57,2,1,1,2,1,3,0,J031,Electrical Technician,9,3,8,4,9,3,Bangalore,0
S0136,23,Female,Plumber,85.5,1,11,2,4,9,0,3,J282,Welding Operator,2,0,0,3,9,9,Delhi,1
S0137,28,Female,Plumber,85.76,0,1,5,3,6,6,5,J185,Automobile Mechanic,9,3,8,7,3,10,Pune,0
S0138,20,Female,IT Technician,63.43,1,1,8,1,9,7,7,J066,Plumbing Assistant,5,6,9,7,3,11,Delhi,0
S0139,18,Female,Electrician,74.6,1,8,10,9,10,3,5,J063,Electrical Technician,0,4,0,10,10,11,Delhi,0
S0140,20,Female,IT Technician,87.08,4,9,10,5,4,0,2,J228,IT Support Technician,3,6,6,0,8,6,Kolkata,0
S0141,22,Female,IT Technician,88.48,0,2,6,7,1,2,3,J101,Woodwork Assistant,1,4,5,0,1,7,Kolkata,0
S0142,20,Female,Electrician,70.36,5,9,10,4,2,4,7,J139,IT Support Technician,6,5,5,5,6,10,Chennai,0
S0143,18,Female,Welder,68.11,1,3,7,1,5,3,8,J119,Electrical Technician,9,8,8,1,1,9,Chennai,0
S0144,22,Male,IT Technician,61.15,1,9,9,1,7,0,10,J057,Plumbing Assistant,4,9,6,2,2,6,Chennai,1
S0145,27,Male,Welder,88.35,3,11,5,10,10,9,0,J131,Plumbing Assistant,3,2,2,7,6,8,Pune,1
S0146,24,Female,IT Technician,55.71,1,7,1,2,8,4,9,J037,Welding Operator,6,9,1,10,8,6,Bangalore,0
S0147,24,Female,Carpenter,73.19,1,3,9,1,9,4,4,J111,IT Support Technician,5,2,8,8,5,3,Chennai,0
S0148,28,Male,Electrician,61.3,4,10,0,2,4,8,9,J153,IT Support Technician,9,5,7,7,5,8,Mumbai,0
S0149,26,Male,IT Technician,61.16,0,9,0,7,0,8,5,J250,Woodwork Assistant,6,3,0,3,7,8,Delhi,1
S0150,27,Male,Carpenter,66.2,2,9,0,7,4,6,6,J242,Welding Operator,7,1,6,0,1,2,Pune,1
S0151,27,Female,Mechanic,89.95,0,12,6,5,10,7,8,J208,Woodwork Assistant,7,10,9,3,2,9,Bangalore,1
S0152,29,Male,Carpenter,52.2,3,6,1,6,1,5,1,J170,Electrical Technician,1,10,5,3,2,7,Kolkata,0
S0153,20,Female,Plumber,73.14,0,4,9,5,1,0,6,J257,Electrical Technician,2,9,2,7,8,0,Delhi,0
S0154,24,Female,IT Technician,53.3,1,8,2,3,5,4,3,J279,IT Support Technician,8,4,0,9,4,1,Chennai,0
S0155,18,Male,Carpenter,56.18,3,3,8,5,5,1,5,J113,Welding Operator,0,8,9,7,6,7,Kolkata,0
S0156,21,Female,Welder,67.58,0,2,6,7,7,8,9,J175,Automobile Mechanic,1,1,3,8,8,12,Kolkata,0
S0157,21,Female,Mechanic,70.42,3,12,10,2,9,6,6,J089,Plumbing Assistant,7,10,4,6,8,7,Kolkata,1
S0158,22,Female,IT Technician,60.35,2,1,0,7,3,4,5,J135,Welding Operator,2,3,1,8,6,5,Pune,0
S0159,24,Female,Plumber,62.66,0,0,2,4,9,4,0,J294,Welding Operator,5,4,6,2,4,7,Delhi,0
S0160,24,Male,Carpenter,53.48,5,10,2,2,0,6,0,J206,Electrical Technician,1,4,6,10,9,7,Bangalore,0
S0161,28,Male,Mechanic,62.13,1,5,6,3,8,6,4,J073,Plumbing Assistant,10,6,8,2,7,1,Delhi,0
S0162,21,Female,IT Technician,88.66,3,9,6,8,9,5,0,J259,Welding Operator,4,6,0,0,3,2,Mumbai,1
S0163,24,Female,Mechanic,87.79,5,1,5,0,3,7,4,J148,Electrical Technician,4,9,2,5,2,6,Chennai,0
S0164,28,Male,Plumber,63.4,5,7,4,9,10,7,7,J225,Electrical Technician,4,10,0,2,6,2,Pune,1
S0165,20,Female,Carpenter,72.83,4,5,0,4,4,7,0,J105,IT Support Technician,2,4,6,1,2,12,Bangalore,0
S0166,23,Male,Mechanic,86.38,3,11,6,6,8,1,2,J044,IT Support Technician,3,4,8,8,3,10,Pune,1
S0167,29,Female,Mechanic,50.25,5,11,3,0,6,9,2,J026,Welding Operator,8,3,1,9,0,1,Bangalore,1
S0168,19,Female,Electrician,82.43,4,4,2,2,7,8,9,J261,Welding Operator,6,3,7,7,7,5,Chennai,0
S0169,27,Male,Mechanic,87.93,5,12,1,9,9,0,8,J059,Electrical Technician,5,8,3,4,3,1,Mumbai,1
S0170,26,Male,Electrician,53.65,1,1,5,8,5,1,0,J061,IT Support Technician,4,1,4,9,7,1,Kolkata,1
S0171,22,Male,Carpenter,56.46,2,6,7,2,0,7,0,J070,Welding Operator,8,6,6,5,1,10,Chennai,0
S0172,23,Male,IT Technician,88.43,4,1,7,0,8,8,8,J271,Plumbing Assistant,9,10,9,8,4,1,Kolkata,0
S0173,29,Female,IT Technician,71.5,2,12,2,3,4,5,8,J257,Electrical Technician,5,0,4,5,9,3,Chennai,1
S0174,29,Male,Carpenter,50.57,3,4,10,3,5,0,1,J125,Electrical Technician,10,1,6,3,4,6,Delhi,0
S0175,29,Female,Carpenter,60.31,1,1,7,3,9,6,3,J019,Welding Operator,2,4,3,9,5,5,Pune,0
S0176,29,Male,Welder,68.0,4,10,8,8,3,7,5,J119,Welding Operator,1,2,9,0,6,4,Mumbai,1
S0177,21,Male,Carpenter,77.72,3,9,0,6,0,2,7,J066,Welding Operator,8,1,6,2,4,3,Pune,1
S0178,28,Female,Mechanic,79.33,5,10,8,2,0,0,6,J245,Plumbing Assistant,5,7,3,1,2,1,Mumbai,0
S0179,27,Male,IT Technician,89.82,0,10,4,0,5,5,3,J057,Electrical Technician,7,6,5,4,10,10,Chennai,0
S0180,24,Male,Plumber,61.5,3,1,6,6,8,0,4,J044,Automobile Mechanic,4,0,5,8,7,7,Mumbai,0
S0181,29,Male,IT Technician,71.53,2,6,9,2,6,3,3,J012,Plumbing Assistant,9,0,10,5,2,12,Kolkata,0
S0182,26,Male,Electrician,71.33,1,8,0,0,9,1,1,J236,Plumbing Assistant,5,8,5,7,5,11,Mumbai,0
S0183,24,Female,IT Technician,66.23,1,4,0,7,5,5,9,J024,IT Support Technician,5,6,10,9,10,1,Mumbai,0
S0184,18,Female,Welder,56.77,3,6,9,8,4,3,10,J257,Electrical Technician,3,7,3,6,0,10,Pune,0
S0185,18,Male,Carpenter,89.1,5,3,5,7,0,6,7,J284,Automobile Mechanic,8,9,8,6,7,7,Mumbai,0
S0186,26,Male,Carpenter,84.13,0,1,8,10,7,6,2,J251,Electrical Technician,1,9,9,6,0,9,Bangalore,0
S0187,28,Male,IT Technician,69.93,2,2,1,2,3,3,5,J094,Plumbing Assistant,2,5,4,4,8,3,Chennai,0
S0188,26,Female,Plumber,74.13,3,1,6,3,9,5,8,J022,Welding Operator,5,2,1,8,9,11,Delhi,0
S0189,21,Female,Plumber,59.09,3,4,5,2,0,10,9,J157,Electrical Technician,3,10,4,8,4,4,Delhi,1
S0190,26,Female,Welder,71.75,1,5,9,4,9,9,2,J089,Electrical Technician,6,1,1,3,7,10,Bangalore,0
S0191,20,Female,Electrician,77.8,2,6,7,9,0,10,1,J202,Welding Operator,1,9,6,0,8,0,Pune,1
S0192,24,Male,IT Technician,70.61,0,2,2,2,7,4,7,J197,Automobile Mechanic,9,5,10,0,9,1,Bangalore,0
S0193,23,Male,Carpenter,89.61,1,3,10,10,5,1,10,J045,Automobile Mechanic,5,4,4,4,3,10,Delhi,0
S0194,25,Male,IT Technician,74.45,3,7,3,8,3,4,4,J079,Electrical Technician,6,8,3,1,1,7,Kolkata,1
S0195,28,Female,Welder,64.84,1,3,9,7,5,9,6,J039,Welding Operator,1,6,3,3,0,0,Delhi,1
S0196,26,Male,Mechanic,80.89,1,6,5,4,4,2,6,J284,IT Support Technician,3,5,1,3,10,2,Delhi,0
S0197,22,Female,Mechanic,56.82,4,11,9,4,6,1,8,J155,Electrical Technician,6,8,1,7,5,1,Chennai,1
S0198,18,Female,Welder,65.38,1,5,7,4,1,5,7,J149,Welding Operator,7,1,10,0,6,9,Delhi,0
S0199,20,Male,Carpenter,63.88,5,6,6,7,3,2,6,J052,Plumbing Assistant,8,8,1,3,0,4,Delhi,0
S0200,27,Male,Welder,67.27,1,0,1,4,6,0,3,J251,IT Support Technician,10,6,1,3,1,11,Mumbai,0
S0201,29,Male,Carpenter,81.27,5,2,1,5,0,6,2,J147,Welding Operator,0,6,5,1,3,3,Bangalore,0
S0202,25,Female,Plumber,69.37,2,5,0,7,6,1,6,J258,Electrical Technician,10,2,2,2,10,3,Delhi,0
S0203,28,Female,Welder,81.76,1,2,2,8,7,4,6,J273,Woodwork Assistant,3,0,0,6,4,12,Delhi,0
S0204,23,Male,Carpenter,73.06,0,6,2,0,0,10,1,J125,Automobile Mechanic,2,8,4,9,2,3,Kolkata,0
S0205,25,Male,Welder,63.68,5,8,7,0,10,4,8,J204,Electrical Technician,8,0,8,4,5,10,Delhi,0
S0206,26,Female,Welder,82.4,5,2,8,1,6,10,0,J256,Welding Operator,1,7,2,0,6,3,Chennai,0
S0207,21,Male,Carpenter,59.53,3,0,2,5,8,9,1,J131,IT Support Technician,2,3,4,0,10,3,Pune,0
S0208,18,Female,Carpenter,58.98,2,9,6,3,1,2,5,J021,IT Support Technician,10,8,6,1,0,5,Kolkata,0
S0209,18,Female,Electrician,70.18,1,12,9,8,7,9,10,J078,Welding Operator,10,1,2,2,7,1,Delhi,1
S0210,27,Male,Welder,60.43,0,5,8,3,3,8,7,J051,Automobile Mechanic,4,8,2,5,3,12,Pune,0
S0211,21,Male,Mechanic,50.36,3,11,1,7,0,8,8,J266,Electrical Technician,7,0,3,6,8,12,Chennai,0
S0212,29,Male,Welder,75.93,2,0,7,10,4,4,2,J116,IT Support Technician,0,7,1,3,3,3,Bangalore,0
S0213,24,Male,Welder,70.44,5,0,4,3,0,8,9,J055,IT Support Technician,7,10,1,6,2,6,Delhi,0
S0214,19,Female,Carpenter,67.82,0,7,3,2,5,0,4,J292,Woodwork Assistant,8,4,7,4,0,6,Bangalore,0
S0215,20,Female,Welder,88.68,1,8,6,1,9,8,5,J051,Plumbing Assistant,8,9,10,6,3,0,Delhi,0
S0216,18,Female,IT Technician,72.85,4,1,1,7,7,0,0,J273,Woodwork Assistant,6,4,9,8,1,9,Kolkata,0
